Process A,Process B,Annotation
run_star_se,Process B,D
run_star_se,Annotation,D
run_star_se,mark_dups,D
run_star_se,samtools_flagstat,D
run_star_se,picard_rna_seq,D
run_star_se,sampleReads,D
run_star_se,cutadapt 2,D
run_star_se,trim_galore_pe,D
run_star_se,trimgalorePE,D
run_star_se,cutadapt,D
run_star_se,trimgaloreSE,D
run_star_se,fastp_trimming_SE,D
run_star_se,fastp_trimming_PE,D
run_star_se,merge_trimmed_PE,D
run_star_se,merge_trimmed_SE,D
run_star_se,DRIMSeq,D
run_star_se,edgeR,D
run_star_se,rsem_norm,D
run_star_se,feature_counts,D
run_star_se,salmon_quant_se,D
run_star_se,salmonSE,D
run_star_se,salmon_quant_pe,D
run_star_se,salmonPE,D
run_star_se,salmon_index_extended,D
run_star_se,counts_matrix,D
run_star_se,samlon_quant,D
run_star_se,featureCounts 2,D
run_star_se,salmon_quant,D
run_star_se,salmon_index,D
run_star_se,featureCounts,D
run_star_se,sortedbam_to_counts,D
run_star_se,tximeta,D
run_star_se,kallistoQuant,D
run_star_se,bigwig,D
run_star_se,fastqScreen,D
run_star_se,multiqc 2,D
run_star_se,fastqc 5,D
run_star_se,fastqc 4,D
run_star_se,multiqc 3,D
run_star_se,fastqc,D
run_star_se,run_multiqc,D
run_star_se,MultiQC,D
run_star_se,fastqctrimmed,D
run_star_se,fastqc_trimmed,D
run_star_se,trim_fasq_fastqc,D
run_star_se,fastqc 3,D
run_star_se,fastQCtrimmed 2,D
run_star_se,fastqc 2,D
run_star_se,fastqcrim,D
run_star_se,fastqc 6,D
pass1,run_star_pe,SS
pass1,generate_genome_star_index,D
pass1,run_star_se,SS
pass1,star_genome,SS
pass1,tastq_to_bam_HISAT,SS
pass1,samtools_bam,D
pass1,hisat2,D
pass1,sort_bams,D
pass1,compare_reference_stringtie,D
pass1,map,D
pass1,bamindex,D
pass1,startPE,SS
pass1,expressbam,D
pass1,sortedbam_to_rmdup,D
pass1,sortbam,D
pass1,fetch_unique_stringtie,D
pass1,starindex,D
pass1,starSE,SS
pass1,sort_index_bams,D
pass1,RNA_SeqC,D
pass1,pass2,S
pass1,Process B,D
pass1,Annotation,D
pass1,mark_dups,D
pass1,samtools_flagstat,D
pass1,picard_rna_seq,D
pass1,sampleReads,D
pass1,cutadapt 2,D
pass1,trim_galore_pe,D
pass1,trimgalorePE,D
pass1,cutadapt,D
pass1,trimgaloreSE,D
pass1,fastp_trimming_SE,D
pass1,fastp_trimming_PE,D
pass1,merge_trimmed_PE,D
pass1,merge_trimmed_SE,D
pass1,DRIMSeq,D
pass1,edgeR,D
pass1,rsem_norm,D
pass1,feature_counts,D
pass1,salmon_quant_se,D
pass1,salmonSE,D
pass1,salmon_quant_pe,D
pass1,salmonPE,D
pass1,salmon_index_extended,D
pass1,counts_matrix,D
pass1,samlon_quant,D
pass1,featureCounts 2,D
pass1,salmon_quant,D
pass1,salmon_index,D
pass1,featureCounts,D
pass1,sortedbam_to_counts,D
pass1,tximeta,D
pass1,kallistoQuant,D
pass1,bigwig,D
pass1,fastqScreen,D
pass1,multiqc 2,D
pass1,fastqc 5,D
pass1,fastqc 4,D
pass1,multiqc 3,D
pass1,fastqc,D
pass1,run_multiqc,D
pass1,MultiQC,D
pass1,fastqctrimmed,D
pass1,fastqc_trimmed,D
pass1,trim_fasq_fastqc,D
pass1,fastqc 3,D
pass1,fastQCtrimmed 2,D
pass1,fastqc 2,D
pass1,fastqcrim,D
pass1,fastqc 6,D
star_genome,run_star_pe,SS
star_genome,generate_genome_star_index,S
star_genome,run_star_se,D
star_genome,pass1,SS
star_genome,tastq_to_bam_HISAT,SS
star_genome,samtools_bam,D
star_genome,hisat2,SS
star_genome,sort_bams,D
star_genome,compare_reference_stringtie,D
star_genome,map,SS
star_genome,bamindex,D
star_genome,startPE,D
star_genome,expressbam,D
star_genome,sortedbam_to_rmdup,D
star_genome,sortbam,D
star_genome,fetch_unique_stringtie,D
star_genome,starindex,D
star_genome,starSE,D
star_genome,sort_index_bams,D
star_genome,RNA_SeqC,D
star_genome,pass2,D
star_genome,Process B,D
star_genome,Annotation,D
star_genome,mark_dups,D
star_genome,samtools_flagstat,D
star_genome,picard_rna_seq,D
star_genome,sampleReads,D
star_genome,cutadapt 2,D
star_genome,trim_galore_pe,D
star_genome,trimgalorePE,D
star_genome,cutadapt,D
star_genome,trimgaloreSE,D
star_genome,fastp_trimming_SE,D
star_genome,fastp_trimming_PE,D
star_genome,merge_trimmed_PE,D
star_genome,merge_trimmed_SE,D
star_genome,DRIMSeq,D
star_genome,edgeR,D
star_genome,rsem_norm,D
star_genome,feature_counts,D
star_genome,salmon_quant_se,D
star_genome,salmonSE,D
star_genome,salmon_quant_pe,D
star_genome,salmonPE,D
star_genome,salmon_index_extended,D
star_genome,counts_matrix,D
star_genome,samlon_quant,D
star_genome,featureCounts 2,D
star_genome,salmon_quant,D
star_genome,salmon_index,D
star_genome,featureCounts,D
star_genome,sortedbam_to_counts,D
star_genome,tximeta,D
star_genome,kallistoQuant,D
star_genome,bigwig,D
star_genome,fastqScreen,D
star_genome,multiqc 2,D
star_genome,fastqc 5,D
star_genome,fastqc 4,D
star_genome,multiqc 3,D
star_genome,fastqc,D
star_genome,run_multiqc,D
star_genome,MultiQC,D
star_genome,fastqctrimmed,D
star_genome,fastqc_trimmed,D
star_genome,trim_fasq_fastqc,D
star_genome,fastqc 3,D
star_genome,fastQCtrimmed 2,D
star_genome,fastqc 2,D
star_genome,fastqcrim,D
star_genome,fastqc 6,D
tastq_to_bam_HISAT,run_star_pe,SS
tastq_to_bam_HISAT,generate_genome_star_index,D
tastq_to_bam_HISAT,run_star_se,SS
tastq_to_bam_HISAT,pass1,SS
tastq_to_bam_HISAT,star_genome,SS
tastq_to_bam_HISAT,samtools_bam,D
tastq_to_bam_HISAT,hisat2,SS
tastq_to_bam_HISAT,sort_bams,D
tastq_to_bam_HISAT,compare_reference_stringtie,D
tastq_to_bam_HISAT,map,SS
tastq_to_bam_HISAT,bamindex,SS
tastq_to_bam_HISAT,startPE,SS
tastq_to_bam_HISAT,expressbam,D
tastq_to_bam_HISAT,sortedbam_to_rmdup,D
tastq_to_bam_HISAT,sortbam,D
tastq_to_bam_HISAT,fetch_unique_stringtie,D
tastq_to_bam_HISAT,starindex,D
tastq_to_bam_HISAT,starSE,SS
tastq_to_bam_HISAT,sort_index_bams,SS
tastq_to_bam_HISAT,RNA_SeqC,D
tastq_to_bam_HISAT,pass2,SS
tastq_to_bam_HISAT,Process B,D
tastq_to_bam_HISAT,Annotation,D
tastq_to_bam_HISAT,mark_dups,D
tastq_to_bam_HISAT,samtools_flagstat,D
tastq_to_bam_HISAT,picard_rna_seq,D
tastq_to_bam_HISAT,sampleReads,D
tastq_to_bam_HISAT,cutadapt 2,D
tastq_to_bam_HISAT,trim_galore_pe,D
tastq_to_bam_HISAT,trimgalorePE,D
tastq_to_bam_HISAT,cutadapt,D
tastq_to_bam_HISAT,trimgaloreSE,D
tastq_to_bam_HISAT,fastp_trimming_SE,D
tastq_to_bam_HISAT,fastp_trimming_PE,D
tastq_to_bam_HISAT,merge_trimmed_PE,D
tastq_to_bam_HISAT,merge_trimmed_SE,D
tastq_to_bam_HISAT,DRIMSeq,D
tastq_to_bam_HISAT,edgeR,D
tastq_to_bam_HISAT,rsem_norm,D
tastq_to_bam_HISAT,feature_counts,D
tastq_to_bam_HISAT,salmon_quant_se,D
tastq_to_bam_HISAT,salmonSE,D
tastq_to_bam_HISAT,salmon_quant_pe,D
tastq_to_bam_HISAT,salmonPE,D
tastq_to_bam_HISAT,salmon_index_extended,D
tastq_to_bam_HISAT,counts_matrix,D
tastq_to_bam_HISAT,samlon_quant,D
tastq_to_bam_HISAT,featureCounts 2,D
tastq_to_bam_HISAT,salmon_quant,D
tastq_to_bam_HISAT,salmon_index,D
tastq_to_bam_HISAT,featureCounts,D
tastq_to_bam_HISAT,sortedbam_to_counts,D
tastq_to_bam_HISAT,tximeta,D
tastq_to_bam_HISAT,kallistoQuant,D
tastq_to_bam_HISAT,bigwig,D
tastq_to_bam_HISAT,fastqScreen,D
tastq_to_bam_HISAT,multiqc 2,D
tastq_to_bam_HISAT,fastqc 5,D
tastq_to_bam_HISAT,fastqc 4,D
tastq_to_bam_HISAT,multiqc 3,D
tastq_to_bam_HISAT,fastqc,D
tastq_to_bam_HISAT,run_multiqc,D
tastq_to_bam_HISAT,MultiQC,D
tastq_to_bam_HISAT,fastqctrimmed,D
tastq_to_bam_HISAT,fastqc_trimmed,D
tastq_to_bam_HISAT,trim_fasq_fastqc,D
tastq_to_bam_HISAT,fastqc 3,D
tastq_to_bam_HISAT,fastQCtrimmed 2,D
tastq_to_bam_HISAT,fastqc 2,D
tastq_to_bam_HISAT,fastqcrim,D
tastq_to_bam_HISAT,fastqc 6,D
samtools_bam,run_star_pe,SS
samtools_bam,generate_genome_star_index,D
samtools_bam,run_star_se,D
samtools_bam,pass1,D
samtools_bam,star_genome,D
samtools_bam,tastq_to_bam_HISAT,D
samtools_bam,hisat2,D
samtools_bam,sort_bams,D
samtools_bam,compare_reference_stringtie,D
samtools_bam,map,D
samtools_bam,bamindex,D
samtools_bam,startPE,D
samtools_bam,expressbam,D
samtools_bam,sortedbam_to_rmdup,D
samtools_bam,sortbam,D
samtools_bam,fetch_unique_stringtie,D
samtools_bam,starindex,D
samtools_bam,starSE,D
samtools_bam,sort_index_bams,D
samtools_bam,RNA_SeqC,D
samtools_bam,pass2,D
samtools_bam,Process B,D
samtools_bam,Annotation,D
samtools_bam,mark_dups,D
samtools_bam,samtools_flagstat,D
samtools_bam,picard_rna_seq,D
samtools_bam,sampleReads,D
samtools_bam,cutadapt 2,D
samtools_bam,trim_galore_pe,D
samtools_bam,trimgalorePE,D
samtools_bam,cutadapt,D
samtools_bam,trimgaloreSE,D
samtools_bam,fastp_trimming_SE,D
samtools_bam,fastp_trimming_PE,D
samtools_bam,merge_trimmed_PE,D
samtools_bam,merge_trimmed_SE,D
samtools_bam,DRIMSeq,D
samtools_bam,edgeR,D
samtools_bam,rsem_norm,D
samtools_bam,feature_counts,D
samtools_bam,salmon_quant_se,D
samtools_bam,salmonSE,D
samtools_bam,salmon_quant_pe,D
samtools_bam,salmonPE,D
samtools_bam,salmon_index_extended,D
samtools_bam,counts_matrix,D
samtools_bam,samlon_quant,D
samtools_bam,featureCounts 2,D
samtools_bam,salmon_quant,D
samtools_bam,salmon_index,D
samtools_bam,featureCounts,D
samtools_bam,sortedbam_to_counts,D
samtools_bam,tximeta,D
samtools_bam,kallistoQuant,D
samtools_bam,bigwig,D
samtools_bam,fastqScreen,D
samtools_bam,multiqc 2,D
samtools_bam,fastqc 5,D
samtools_bam,fastqc 4,D
samtools_bam,multiqc 3,D
samtools_bam,fastqc,D
samtools_bam,run_multiqc,D
samtools_bam,MultiQC,D
samtools_bam,fastqctrimmed,D
samtools_bam,fastqc_trimmed,D
samtools_bam,trim_fasq_fastqc,D
samtools_bam,fastqc 3,D
samtools_bam,fastQCtrimmed 2,D
samtools_bam,fastqc 2,D
samtools_bam,fastqcrim,D
samtools_bam,fastqc 6,D
hisat2,run_star_pe,SS
hisat2,generate_genome_star_index,D
hisat2,run_star_se,D
hisat2,pass1,D
hisat2,star_genome,SS
hisat2,tastq_to_bam_HISAT,SS
hisat2,samtools_bam,D
hisat2,sort_bams,D
hisat2,compare_reference_stringtie,D
hisat2,map,D
hisat2,bamindex,D
hisat2,startPE,D
hisat2,expressbam,D
hisat2,sortedbam_to_rmdup,D
hisat2,sortbam,D
hisat2,fetch_unique_stringtie,D
hisat2,starindex,D
hisat2,starSE,D
hisat2,sort_index_bams,D
hisat2,RNA_SeqC,D
hisat2,pass2,D
hisat2,Process B,D
hisat2,Annotation,D
hisat2,mark_dups,D
hisat2,samtools_flagstat,D
hisat2,picard_rna_seq,D
hisat2,sampleReads,D
hisat2,cutadapt 2,D
hisat2,trim_galore_pe,D
hisat2,trimgalorePE,D
hisat2,cutadapt,D
hisat2,trimgaloreSE,D
hisat2,fastp_trimming_SE,D
hisat2,fastp_trimming_PE,D
hisat2,merge_trimmed_PE,D
hisat2,merge_trimmed_SE,D
hisat2,DRIMSeq,D
hisat2,edgeR,D
hisat2,rsem_norm,D
hisat2,feature_counts,D
hisat2,salmon_quant_se,D
hisat2,salmonSE,D
hisat2,salmon_quant_pe,D
hisat2,salmonPE,D
hisat2,salmon_index_extended,D
hisat2,counts_matrix,D
hisat2,samlon_quant,D
hisat2,featureCounts 2,D
hisat2,salmon_quant,D
hisat2,salmon_index,D
hisat2,featureCounts,D
hisat2,sortedbam_to_counts,D
hisat2,tximeta,D
hisat2,kallistoQuant,D
hisat2,bigwig,D
hisat2,fastqScreen,D
hisat2,multiqc 2,D
hisat2,fastqc 5,D
hisat2,fastqc 4,D
hisat2,multiqc 3,D
hisat2,fastqc,D
hisat2,run_multiqc,D
hisat2,MultiQC,D
hisat2,fastqctrimmed,D
hisat2,fastqc_trimmed,D
hisat2,trim_fasq_fastqc,D
hisat2,fastqc 3,D
hisat2,fastQCtrimmed 2,D
hisat2,fastqc 2,D
hisat2,fastqcrim,D
hisat2,fastqc 6,D
sort_bams,run_star_pe,SS
sort_bams,generate_genome_star_index,D
sort_bams,run_star_se,D
sort_bams,pass1,D
sort_bams,star_genome,D
sort_bams,tastq_to_bam_HISAT,D
sort_bams,samtools_bam,D
sort_bams,hisat2,D
sort_bams,compare_reference_stringtie,D
sort_bams,map,D
sort_bams,bamindex,D
sort_bams,startPE,D
sort_bams,expressbam,D
sort_bams,sortedbam_to_rmdup,D
sort_bams,sortbam,VS
sort_bams,fetch_unique_stringtie,D
sort_bams,starindex,D
sort_bams,starSE,D
sort_bams,sort_index_bams,S
sort_bams,RNA_SeqC,D
sort_bams,pass2,D
sort_bams,Process B,D
sort_bams,Annotation,D
sort_bams,mark_dups,D
sort_bams,samtools_flagstat,D
sort_bams,picard_rna_seq,D
sort_bams,sampleReads,D
sort_bams,cutadapt 2,D
sort_bams,trim_galore_pe,D
sort_bams,trimgalorePE,D
sort_bams,cutadapt,D
sort_bams,trimgaloreSE,D
sort_bams,fastp_trimming_SE,D
sort_bams,fastp_trimming_PE,D
sort_bams,merge_trimmed_PE,D
sort_bams,merge_trimmed_SE,D
sort_bams,DRIMSeq,D
sort_bams,edgeR,D
sort_bams,rsem_norm,D
sort_bams,feature_counts,D
sort_bams,salmon_quant_se,D
sort_bams,salmonSE,D
sort_bams,salmon_quant_pe,D
sort_bams,salmonPE,D
sort_bams,salmon_index_extended,D
sort_bams,counts_matrix,D
sort_bams,samlon_quant,D
sort_bams,featureCounts 2,D
sort_bams,salmon_quant,D
sort_bams,salmon_index,D
sort_bams,featureCounts,D
sort_bams,sortedbam_to_counts,D
sort_bams,tximeta,D
sort_bams,kallistoQuant,D
sort_bams,bigwig,D
sort_bams,fastqScreen,D
sort_bams,multiqc 2,D
sort_bams,fastqc 5,D
sort_bams,fastqc 4,D
sort_bams,multiqc 3,D
sort_bams,fastqc,D
sort_bams,run_multiqc,D
sort_bams,MultiQC,D
sort_bams,fastqctrimmed,D
sort_bams,fastqc_trimmed,D
sort_bams,trim_fasq_fastqc,D
sort_bams,fastqc 3,D
sort_bams,fastQCtrimmed 2,D
sort_bams,fastqc 2,D
sort_bams,fastqcrim,D
sort_bams,fastqc 6,D
compare_reference_stringtie,run_star_pe,SS
compare_reference_stringtie,generate_genome_star_index,D
compare_reference_stringtie,run_star_se,D
compare_reference_stringtie,pass1,D
compare_reference_stringtie,star_genome,D
compare_reference_stringtie,tastq_to_bam_HISAT,D
compare_reference_stringtie,samtools_bam,D
compare_reference_stringtie,hisat2,D
compare_reference_stringtie,sort_bams,D
compare_reference_stringtie,map,D
compare_reference_stringtie,bamindex,D
compare_reference_stringtie,startPE,D
compare_reference_stringtie,expressbam,D
compare_reference_stringtie,sortedbam_to_rmdup,D
compare_reference_stringtie,sortbam,D
compare_reference_stringtie,fetch_unique_stringtie,D
compare_reference_stringtie,starindex,D
compare_reference_stringtie,starSE,D
compare_reference_stringtie,sort_index_bams,D
compare_reference_stringtie,RNA_SeqC,D
compare_reference_stringtie,pass2,D
compare_reference_stringtie,Process B,D
compare_reference_stringtie,Annotation,D
compare_reference_stringtie,mark_dups,D
compare_reference_stringtie,samtools_flagstat,D
compare_reference_stringtie,picard_rna_seq,D
compare_reference_stringtie,sampleReads,D
compare_reference_stringtie,cutadapt 2,D
compare_reference_stringtie,trim_galore_pe,D
compare_reference_stringtie,trimgalorePE,D
compare_reference_stringtie,cutadapt,D
compare_reference_stringtie,trimgaloreSE,D
compare_reference_stringtie,fastp_trimming_SE,D
compare_reference_stringtie,fastp_trimming_PE,D
compare_reference_stringtie,merge_trimmed_PE,D
compare_reference_stringtie,merge_trimmed_SE,D
compare_reference_stringtie,DRIMSeq,D
compare_reference_stringtie,edgeR,D
compare_reference_stringtie,rsem_norm,D
compare_reference_stringtie,feature_counts,D
compare_reference_stringtie,salmon_quant_se,D
compare_reference_stringtie,salmonSE,D
compare_reference_stringtie,salmon_quant_pe,D
compare_reference_stringtie,salmonPE,D
compare_reference_stringtie,salmon_index_extended,D
compare_reference_stringtie,counts_matrix,D
compare_reference_stringtie,samlon_quant,D
compare_reference_stringtie,featureCounts 2,D
compare_reference_stringtie,salmon_quant,D
compare_reference_stringtie,salmon_index,D
compare_reference_stringtie,featureCounts,D
compare_reference_stringtie,sortedbam_to_counts,D
compare_reference_stringtie,tximeta,D
compare_reference_stringtie,kallistoQuant,D
compare_reference_stringtie,bigwig,D
compare_reference_stringtie,fastqScreen,D
compare_reference_stringtie,multiqc 2,D
compare_reference_stringtie,fastqc 5,D
compare_reference_stringtie,fastqc 4,D
compare_reference_stringtie,multiqc 3,D
compare_reference_stringtie,fastqc,D
compare_reference_stringtie,run_multiqc,D
compare_reference_stringtie,MultiQC,D
compare_reference_stringtie,fastqctrimmed,D
compare_reference_stringtie,fastqc_trimmed,D
compare_reference_stringtie,trim_fasq_fastqc,D
compare_reference_stringtie,fastqc 3,D
compare_reference_stringtie,fastQCtrimmed 2,D
compare_reference_stringtie,fastqc 2,D
compare_reference_stringtie,fastqcrim,D
compare_reference_stringtie,fastqc 6,D
map,run_star_pe,SS
map,generate_genome_star_index,D
map,run_star_se,SS
map,pass1,D
map,star_genome,SS
map,tastq_to_bam_HISAT,SS
map,samtools_bam,D
map,hisat2,D
map,sort_bams,D
map,compare_reference_stringtie,D
map,bamindex,D
map,startPE,SS
map,expressbam,D
map,sortedbam_to_rmdup,D
map,sortbam,D
map,fetch_unique_stringtie,D
map,starindex,D
map,starSE,S
map,sort_index_bams,D
map,RNA_SeqC,D
map,pass2,SS
map,Process B,D
map,Annotation,D
map,mark_dups,D
map,samtools_flagstat,D
map,picard_rna_seq,D
map,sampleReads,D
map,cutadapt 2,D
map,trim_galore_pe,D
map,trimgalorePE,D
map,cutadapt,D
map,trimgaloreSE,D
map,fastp_trimming_SE,D
map,fastp_trimming_PE,D
map,merge_trimmed_PE,D
map,merge_trimmed_SE,D
map,DRIMSeq,D
map,edgeR,D
map,rsem_norm,D
map,feature_counts,D
map,salmon_quant_se,D
map,salmonSE,D
map,salmon_quant_pe,D
map,salmonPE,D
map,salmon_index_extended,D
map,counts_matrix,D
map,samlon_quant,D
map,featureCounts 2,D
map,salmon_quant,D
map,salmon_index,D
map,featureCounts,D
map,sortedbam_to_counts,D
map,tximeta,D
map,kallistoQuant,D
map,bigwig,D
map,fastqScreen,D
map,multiqc 2,D
map,fastqc 5,D
map,fastqc 4,D
map,multiqc 3,D
map,fastqc,D
map,run_multiqc,D
map,MultiQC,D
map,fastqctrimmed,D
map,fastqc_trimmed,D
map,trim_fasq_fastqc,D
map,fastqc 3,D
map,fastQCtrimmed 2,D
map,fastqc 2,D
map,fastqcrim,D
map,fastqc 6,D
bamindex,run_star_pe,SS
bamindex,generate_genome_star_index,D
bamindex,run_star_se,D
bamindex,pass1,D
bamindex,star_genome,D
bamindex,tastq_to_bam_HISAT,SS
bamindex,samtools_bam,D
bamindex,hisat2,D
bamindex,sort_bams,D
bamindex,compare_reference_stringtie,D
bamindex,map,D
bamindex,startPE,SS
bamindex,expressbam,SS
bamindex,sortedbam_to_rmdup,D
bamindex,sortbam,D
bamindex,fetch_unique_stringtie,D
bamindex,starindex,D
bamindex,starSE,D
bamindex,sort_index_bams,D
bamindex,RNA_SeqC,D
bamindex,pass2,D
bamindex,Process B,D
bamindex,Annotation,D
bamindex,mark_dups,D
bamindex,samtools_flagstat,D
bamindex,picard_rna_seq,D
bamindex,sampleReads,D
bamindex,cutadapt 2,D
bamindex,trim_galore_pe,D
bamindex,trimgalorePE,D
bamindex,cutadapt,D
bamindex,trimgaloreSE,D
bamindex,fastp_trimming_SE,D
bamindex,fastp_trimming_PE,D
bamindex,merge_trimmed_PE,D
bamindex,merge_trimmed_SE,D
bamindex,DRIMSeq,D
bamindex,edgeR,D
bamindex,rsem_norm,D
bamindex,feature_counts,D
bamindex,salmon_quant_se,D
bamindex,salmonSE,D
bamindex,salmon_quant_pe,D
bamindex,salmonPE,D
bamindex,salmon_index_extended,D
bamindex,counts_matrix,D
bamindex,samlon_quant,D
bamindex,featureCounts 2,D
bamindex,salmon_quant,D
bamindex,salmon_index,D
bamindex,featureCounts,D
bamindex,sortedbam_to_counts,D
bamindex,tximeta,D
bamindex,kallistoQuant,D
bamindex,bigwig,D
bamindex,fastqScreen,D
bamindex,multiqc 2,D
bamindex,fastqc 5,D
bamindex,fastqc 4,D
bamindex,multiqc 3,D
bamindex,fastqc,D
bamindex,run_multiqc,D
bamindex,MultiQC,D
bamindex,fastqctrimmed,D
bamindex,fastqc_trimmed,D
bamindex,trim_fasq_fastqc,D
bamindex,fastqc 3,D
bamindex,fastQCtrimmed 2,D
bamindex,fastqc 2,D
bamindex,fastqcrim,D
bamindex,fastqc 6,D
startPE,run_star_pe,S
startPE,generate_genome_star_index,D
startPE,run_star_se,S
startPE,pass1,SS
startPE,star_genome,D
