Process A,Process B,Raw_rules_no_white_spaces_cosine
map,run_star_pe,0.1775934687773874
map,pass1,0.1262252965213763
map,fastqc_trimmed,0.1090848064930918
map,run_multiqc,0.0751442064348517
map,sampleReads,0.1566660274108515
map,pass2,0.1057786551083317
fastqctrimmed,expressbam,0.1589861908408821
fastqctrimmed,salmonSE,0.568725747308383
fastqctrimmed,fastqScreen,0.1177160811513377
fastqctrimmed,run_star_se,0.1364100486016103
fastqctrimmed,fastqc,0.8839268322456225
fastqctrimmed,trim_fasq_fastqc,0.1895468780870675
fastqctrimmed,picard_rna_seq,0.0264200093798545
fastqctrimmed,salmon_index_extended,0.2053619474388318
fastqctrimmed,fastp_trimming_SE,0.0944813953357738
fastqctrimmed,starindex,0.0200337852150018
fastqctrimmed,DRIMSeq,0.3100388786261032
fastqctrimmed,samtools_flagstat,0.0887177832550881
fastqctrimmed,salmon_quant_se,0.2074008969126157
fastqctrimmed,feature_counts,0.0367954022100949
fastqctrimmed,RNA_SeqC,0.0247199543335029
fastqctrimmed,fastqc 6,0.4118732926332761
fastqctrimmed,star_genome,0.0363051698797089
fastqctrimmed,edgeR,0.2868878951014699
fastqctrimmed,startPE,0.532734098150737
fastqctrimmed,tastq_to_bam_HISAT,0.1232754380542922
fastqctrimmed,fastqc 5,0.5629050296178331
fastqctrimmed,multiqc 2,0.1813615841662703
fastqctrimmed,kallistoQuant,0.1076470228921419
fastqctrimmed,salmon_index,0.2010867519611278
fastqctrimmed,trim_galore_pe,0.0755155823486334
fastqctrimmed,samlon_quant,0.1233538039154689
fastqctrimmed,sortedbam_to_counts,0.1172002038825701
fastqctrimmed,featureCounts 2,0.1111909429007267
fastqctrimmed,fastqc 4,0.1978205680061467
fastqctrimmed,multiqc 3,0.0808808776040694
fastqctrimmed,merge_trimmed_SE,0.0913399906916548
fastqctrimmed,trimgaloreSE,0.5754058991383817
fastqctrimmed,fastQCtrimmed 2,0.3424305576773694
fastqctrimmed,fastqcrim,0.1024579337593614
fastqctrimmed,sortedbam_to_rmdup,0.1548551328302134
fastqctrimmed,sort_index_bams,0.0276718451988351
fastqctrimmed,fastqc 3,0.1911502882726199
fastqctrimmed,fastqc 2,0.528613216691528
fastqctrimmed,rsem_norm,0.0399577657519073
fastqctrimmed,featureCounts,0.0745338497421245
fastqctrimmed,merge_trimmed_PE,0.0967668009766697
fastqctrimmed,trimgalorePE,0.496179847744799
fastqctrimmed,compare_reference_stringtie,0.1421205688640632
fastqctrimmed,hisat2,0.0976936737845489
fastqctrimmed,counts_matrix,0.0577262236762106
fastqctrimmed,sortbam,0.0746298709209371
fastqctrimmed,starSE,0.5692251322508637
fastqctrimmed,fetch_unique_stringtie,0.1596166141692269
fastqctrimmed,bigwig,0.3832485430723427
fastqctrimmed,cutadapt 2,0.0844063560768044
fastqctrimmed,cutadapt,0.1575518838835162
fastqctrimmed,MultiQC,0.3569447358874386
fastqctrimmed,salmon_quant_pe,0.2088066069642246
fastqctrimmed,tximeta,0.3673335918752565
fastqctrimmed,salmon_quant,0.2434948897886064
fastqctrimmed,sort_bams,0.0369738332370109
fastqctrimmed,mark_dups,0.0323734460129693
fastqctrimmed,fastp_trimming_PE,0.0971784574545988
fastqctrimmed,salmonPE,0.5317930594534634
fastqctrimmed,samtools_bam,0.09260610857884
fastqctrimmed,bamindex,0.4707726824735893
fastqctrimmed,generate_genome_star_index,0.0440575521104404
fastqctrimmed,run_star_pe,0.1346360330353466
fastqctrimmed,pass1,0.0464240642502309
fastqctrimmed,fastqc_trimmed,0.1942850302005651
fastqctrimmed,run_multiqc,0.115591721547524
fastqctrimmed,sampleReads,0.1848685906100525
fastqctrimmed,pass2,0.0436309615925569
expressbam,salmonSE,0.1294622189175454
expressbam,fastqScreen,0.0953494152675275
expressbam,run_star_se,0.0367780078885426
expressbam,fastqc,0.127378473421808
expressbam,trim_fasq_fastqc,0.1869905252877094
expressbam,picard_rna_seq,0.0212504969023076
expressbam,salmon_index_extended,0.0148086174742137
expressbam,fastp_trimming_SE,0.0475022135245276
expressbam,starindex,0.2224159641679994
expressbam,DRIMSeq,0.0293734824490083
expressbam,samtools_flagstat,0.0787994055480196
expressbam,salmon_quant_se,0.0509536338778471
expressbam,feature_counts,0.0218622938132367
expressbam,RNA_SeqC,0.0203270983581644
expressbam,fastqc 6,0.1073366609990333
expressbam,star_genome,0.029012414246866
expressbam,edgeR,0.0295403094358704
expressbam,startPE,0.1254557866845299
expressbam,tastq_to_bam_HISAT,0.2006076387302403
expressbam,fastqc 5,0.1529545153717206
expressbam,multiqc 2,0.1140753436847006
expressbam,kallistoQuant,0.0973438191895178
expressbam,salmon_index,0.0266222408369166
expressbam,trim_galore_pe,0.1134826654363029
expressbam,samlon_quant,0.1044410631619763
expressbam,sortedbam_to_counts,0.1098354385429342
expressbam,featureCounts 2,0.0914535287481882
expressbam,fastqc 4,0.0544895306611284
expressbam,multiqc 3,0.0228493981603159
expressbam,merge_trimmed_SE,0.0363503603150876
expressbam,trimgaloreSE,0.1651112284887245
expressbam,fastQCtrimmed 2,0.142704356096201
expressbam,fastqcrim,0.0455663318437608
expressbam,sortedbam_to_rmdup,0.1581577645151671
expressbam,sort_index_bams,0.0508113022777513
expressbam,fastqc 3,0.0909666670587064
expressbam,fastqc 2,0.1479000483252247
expressbam,rsem_norm,0.0165979713825256
expressbam,featureCounts,0.0730819021401597
expressbam,merge_trimmed_PE,0.034191840952452
expressbam,trimgalorePE,0.1307043338044832
expressbam,compare_reference_stringtie,0.0192777846137783
expressbam,hisat2,0.1669984886404794
expressbam,counts_matrix,0.0647129266239249
expressbam,sortbam,0.0839544480332589
expressbam,starSE,0.1395791388043271
expressbam,fetch_unique_stringtie,0.0221629269513626
expressbam,bigwig,0.1002086227620198
expressbam,cutadapt 2,0.0527753855775466
expressbam,cutadapt,0.1695967159348297
expressbam,MultiQC,0.0623891275613526
expressbam,salmon_quant_pe,0.0580799354104105
expressbam,tximeta,0.0485845328628194
expressbam,salmon_quant,0.0463313157160062
expressbam,sort_bams,0.0599528459331064
expressbam,mark_dups,0.0254689246171787
expressbam,fastp_trimming_PE,0.0599915115900218
expressbam,salmonPE,0.117457431195933
expressbam,samtools_bam,0.1608860609727958
expressbam,bamindex,0.1357945093108176
expressbam,generate_genome_star_index,0.0355715535798391
expressbam,run_star_pe,0.0371703296781199
expressbam,pass1,0.0498989682380092
expressbam,fastqc_trimmed,0.1381879102654094
expressbam,run_multiqc,0.0467966059938999
expressbam,sampleReads,0.190827280335713
expressbam,pass2,0.0468967980693324
salmonSE,fastqScreen,0.1092255110158405
salmonSE,run_star_se,0.1664931920435514
salmonSE,fastqc,0.5556876988560979
salmonSE,trim_fasq_fastqc,0.1612780009190712
salmonSE,picard_rna_seq,0.0366107858808899
salmonSE,salmon_index_extended,0.3110041438569632
salmonSE,fastp_trimming_SE,0.12330046075673
salmonSE,starindex,0.0243534014341464
salmonSE,DRIMSeq,0.3489499233479018
salmonSE,samtools_flagstat,0.081552847760096
salmonSE,salmon_quant_se,0.3282925091601238
salmonSE,feature_counts,0.0632740190381732
salmonSE,RNA_SeqC,0.0513144318283813
salmonSE,fastqc 6,0.0889290950612736
salmonSE,star_genome,0.0572071667890986
salmonSE,edgeR,0.3299484461344495
salmonSE,startPE,0.6863518569612237
salmonSE,tastq_to_bam_HISAT,0.1521437872283596
salmonSE,fastqc 5,0.0747705514383352
salmonSE,multiqc 2,0.1359827398598325
salmonSE,kallistoQuant,0.1017831278972059
salmonSE,salmon_index,0.2860845376743553
salmonSE,trim_galore_pe,0.0949127919734502
salmonSE,samlon_quant,0.3443990304861861
salmonSE,sortedbam_to_counts,0.1329707824850043
salmonSE,featureCounts 2,0.1112079218362119
salmonSE,fastqc 4,0.0705037134353159
salmonSE,multiqc 3,0.1021720292608829
salmonSE,merge_trimmed_SE,0.1190293205979056
salmonSE,trimgaloreSE,0.6282484336033068
salmonSE,fastQCtrimmed 2,0.0966047707202085
salmonSE,fastqcrim,0.0543488571060846
salmonSE,sortedbam_to_rmdup,0.1831026389632994
salmonSE,sort_index_bams,0.0496656232543492
salmonSE,fastqc 3,0.1189719513280027
salmonSE,fastqc 2,0.1237367252564561
salmonSE,rsem_norm,0.0829657359723786
salmonSE,featureCounts,0.0664518030872068
salmonSE,merge_trimmed_PE,0.1333078665209733
salmonSE,trimgalorePE,0.5895322684794684
salmonSE,compare_reference_stringtie,0.1818963469004591
salmonSE,hisat2,0.1204318981271677
salmonSE,counts_matrix,0.0669319436698573
salmonSE,sortbam,0.0936690677741253
salmonSE,starSE,0.7028927084054217
salmonSE,fetch_unique_stringtie,0.2014318268319808
salmonSE,bigwig,0.410989541081167
salmonSE,cutadapt 2,0.0924694398226455
salmonSE,cutadapt,0.1274342555923644
salmonSE,MultiQC,0.3659336961290514
salmonSE,salmon_quant_pe,0.3255031302907392
salmonSE,tximeta,0.5461222098018079
salmonSE,salmon_quant,0.3893536954791096
salmonSE,sort_bams,0.033880728016096
salmonSE,mark_dups,0.0441800089206084
salmonSE,fastp_trimming_PE,0.1194271608535955
salmonSE,salmonPE,0.8801515948993791
salmonSE,samtools_bam,0.0851271481036686
salmonSE,bamindex,0.4795767188112059
salmonSE,generate_genome_star_index,0.0595624961661781
salmonSE,run_star_pe,0.1695830315488787
salmonSE,pass1,0.0670239176964958
salmonSE,fastqc_trimmed,0.1056724355187672
salmonSE,run_multiqc,0.150144018936016
salmonSE,sampleReads,0.1627615082232718
salmonSE,pass2,0.0629914253744803
fastqScreen,run_star_se,0.0471638293372843
fastqScreen,fastqc,0.1126776608876264
fastqScreen,trim_fasq_fastqc,0.076101497240155
fastqScreen,picard_rna_seq,0.033779923949743
fastqScreen,salmon_index_extended,0.0425676464169299
fastqScreen,fastp_trimming_SE,0.0312193544276663
fastqScreen,starindex,0.0136060068842237
fastqScreen,DRIMSeq,0.0572365013582939
fastqScreen,samtools_flagstat,0.0904399180528112
fastqScreen,salmon_quant_se,0.0725572401028031
fastqScreen,feature_counts,0.0491263311987408
fastqScreen,RNA_SeqC,0.0357535435625872
fastqScreen,fastqc 6,0.2162033171715756
fastqScreen,star_genome,0.0491330888302689
fastqScreen,edgeR,0.0505659849688909
fastqScreen,startPE,0.1060912227314944
fastqScreen,tastq_to_bam_HISAT,0.0919456905443571
fastqScreen,fastqc 5,0.0630925415914576
fastqScreen,multiqc 2,0.1495289978858766
fastqScreen,kallistoQuant,0.0968121547121483
fastqScreen,salmon_index,0.045731932674403
fastqScreen,trim_galore_pe,0.0809068538708329
fastqScreen,samlon_quant,0.1037144894587643
fastqScreen,sortedbam_to_counts,0.0894551798186494
fastqScreen,featureCounts 2,0.1122704844478399
fastqScreen,fastqc 4,0.1991130630437139
fastqScreen,multiqc 3,0.0321359565386146
fastqScreen,merge_trimmed_SE,0.0282643528629019
fastqScreen,trimgaloreSE,0.1079307210198486
fastqScreen,fastQCtrimmed 2,0.2949823240618338
fastqScreen,fastqcrim,0.1843370541025751
fastqScreen,sortedbam_to_rmdup,0.1119176839846112
fastqScreen,sort_index_bams,0.0191265286296227
fastqScreen,fastqc 3,0.056570170795747
fastqScreen,fastqc 2,0.1572205151544397
fastqScreen,rsem_norm,0.0569218139116822
fastqScreen,featureCounts,0.0617877559077411
fastqScreen,merge_trimmed_PE,0.0320680469331623
fastqScreen,trimgalorePE,0.0899041990152545
fastqScreen,compare_reference_stringtie,0.0267609690326462
fastqScreen,hisat2,0.1139375373739868
fastqScreen,counts_matrix,0.0470346720615577
fastqScreen,sortbam,0.0596315695050798
fastqScreen,starSE,0.1147001490760589
fastqScreen,fetch_unique_stringtie,0.0239113212499809
fastqScreen,bigwig,0.0768950066583928
fastqScreen,cutadapt 2,0.0986601221391351
fastqScreen,cutadapt,0.1051129895085454
fastqScreen,MultiQC,0.049251143798117
fastqScreen,salmon_quant_pe,0.0781879519995895
fastqScreen,tximeta,0.0615188529052765
fastqScreen,salmon_quant,0.06613880616819
fastqScreen,sort_bams,0.0245007323744202
fastqScreen,mark_dups,0.0379253127613115
fastqScreen,fastp_trimming_PE,0.0405534844187955
fastqScreen,salmonPE,0.1017509501976887
fastqScreen,samtools_bam,0.0739679229105396
fastqScreen,bamindex,0.084369466905697
fastqScreen,generate_genome_star_index,0.0572029369825014
fastqScreen,run_star_pe,0.0445216536333084
fastqScreen,pass1,0.0636804987993694
fastqScreen,fastqc_trimmed,0.1448833721244838
fastqScreen,run_multiqc,0.0637946746693487
fastqScreen,sampleReads,0.2588693267956117
fastqScreen,pass2,0.0598491631911854
run_star_se,fastqc,0.1384527829531739
run_star_se,trim_fasq_fastqc,0.0645088672953475
run_star_se,picard_rna_seq,0.1811664407409617
run_star_se,salmon_index_extended,0.1090982941018623
run_star_se,fastp_trimming_SE,0.237421947071967
run_star_se,starindex,0.0526302125715498
run_star_se,DRIMSeq,0.0961043385660811
run_star_se,samtools_flagstat,0.0420382366108052
run_star_se,salmon_quant_se,0.1679904436905306
run_star_se,feature_counts,0.2248386788130439
run_star_se,RNA_SeqC,0.0647716777842706
run_star_se,fastqc 6,0.0234708543520264
run_star_se,star_genome,0.1289807453033686
run_star_se,edgeR,0.0966704618011323
run_star_se,startPE,0.2150643920717991
run_star_se,tastq_to_bam_HISAT,0.0797056504038591
run_star_se,fastqc 5,0.01666984658761
run_star_se,multiqc 2,0.0301773878497062
run_star_se,kallistoQuant,0.0345534836638483
run_star_se,salmon_index,0.1173476708568175
run_star_se,trim_galore_pe,0.0329210812428951
run_star_se,samlon_quant,0.0508339735129993
run_star_se,sortedbam_to_counts,0.058430771351859
run_star_se,featureCounts 2,0.0627456383406981
run_star_se,fastqc 4,0.0307532294896163
run_star_se,multiqc 3,0.0868320321793503
run_star_se,merge_trimmed_SE,0.3229979276399909
run_star_se,trimgaloreSE,0.1456919850163171
run_star_se,fastQCtrimmed 2,0.0175723492057582
run_star_se,fastqcrim,0.02804498459723
run_star_se,sortedbam_to_rmdup,0.0868258253468115
run_star_se,sort_index_bams,0.4281879812878786
run_star_se,fastqc 3,0.0752467707313694
run_star_se,fastqc 2,0.0549506837293187
run_star_se,rsem_norm,0.1016131812864917
run_star_se,featureCounts,0.0661009402868621
run_star_se,merge_trimmed_PE,0.3091061965795973
run_star_se,trimgalorePE,0.1426101274891368
run_star_se,compare_reference_stringtie,0.0819802043318789
run_star_se,hisat2,0.0490997424937242
run_star_se,counts_matrix,0.0119998325252012
run_star_se,sortbam,0.0537302265046002
run_star_se,starSE,0.2342705530709136
run_star_se,fetch_unique_stringtie,0.0831629232880275
run_star_se,bigwig,0.1674292043560026
run_star_se,cutadapt 2,0.0332583320771324
run_star_se,cutadapt,0.0359386442432075
run_star_se,MultiQC,0.0943679301385241
run_star_se,salmon_quant_pe,0.1843383230996249
run_star_se,tximeta,0.1230288123613731
run_star_se,salmon_quant,0.1719509946746158
run_star_se,sort_bams,0.4535231488880033
run_star_se,mark_dups,0.0670056452028205
run_star_se,fastp_trimming_PE,0.2227199395418592
run_star_se,salmonPE,0.1654610544700867
run_star_se,samtools_bam,0.065385234425857
run_star_se,bamindex,0.1580830527423071
run_star_se,generate_genome_star_index,0.180648417503407
run_star_se,run_star_pe,0.9602781976264508
run_star_se,pass1,0.1431109577482291
run_star_se,fastqc_trimmed,0.0493158965136785
run_star_se,run_multiqc,0.0641012620573088
run_star_se,sampleReads,0.0547304850304767
run_star_se,pass2,0.1258195048002511
fastqc,trim_fasq_fastqc,0.1661466481381918
fastqc,picard_rna_seq,0.0290718380558041
fastqc,salmon_index_extended,0.2098587800509237
fastqc,fastp_trimming_SE,0.0931503552864984
fastqc,starindex,0.0191088019360058
fastqc,DRIMSeq,0.2908510427145707
fastqc,samtools_flagstat,0.0846215795082746
fastqc,salmon_quant_se,0.2078259541117601
fastqc,feature_counts,0.0417189672379359
fastqc,RNA_SeqC,0.0304195567875001
fastqc,fastqc 6,0.4345860068148365
fastqc,star_genome,0.0412604015488742
fastqc,edgeR,0.2671720240641931
fastqc,startPE,0.5526232256421598
fastqc,tastq_to_bam_HISAT,0.1168669652203526
fastqc,fastqc 5,0.587851970505497
fastqc,multiqc 2,0.1798653428898785
fastqc,kallistoQuant,0.098656510112782
fastqc,salmon_index,0.2040966523723469
fastqc,trim_galore_pe,0.0619374208202732
fastqc,samlon_quant,0.1176584146119577
fastqc,sortedbam_to_counts,0.1146310685934045
fastqc,featureCounts 2,0.1090550459626836
fastqc,fastqc 4,0.2068713374929566
fastqc,multiqc 3,0.0822680541863617
fastqc,merge_trimmed_SE,0.0942984891798261
fastqc,trimgaloreSE,0.5620102248470081
fastqc,fastQCtrimmed 2,0.3238819499829274
fastqc,fastqcrim,0.1054183049979923
fastqc,sortedbam_to_rmdup,0.1540701622542772
fastqc,sort_index_bams,0.026394203762971
fastqc,fastqc 3,0.1941497850973199
fastqc,fastqc 2,0.5449132050332263
fastqc,rsem_norm,0.0456729146835148
fastqc,featureCounts,0.0710925347838789
fastqc,merge_trimmed_PE,0.1002181464710086
fastqc,trimgalorePE,0.5264088650104856
fastqc,compare_reference_stringtie,0.1454230638342427
fastqc,hisat2,0.0970468589735051
fastqc,counts_matrix,0.0550609364582917
fastqc,sortbam,0.0711841225526355
fastqc,starSE,0.5558794633183416
fastqc,fetch_unique_stringtie,0.1628120001150885
fastqc,bigwig,0.3618756897462626
fastqc,cutadapt 2,0.0851870450747175
fastqc,cutadapt,0.1307557831060503
fastqc,MultiQC,0.3337088684973308
fastqc,salmon_quant_pe,0.208207268093732
fastqc,tximeta,0.35089662752153
fastqc,salmon_quant,0.2469839044346489
fastqc,sort_bams,0.0352667081411997
fastqc,mark_dups,0.0352865886296293
fastqc,fastp_trimming_PE,0.0936060014874372
fastqc,salmonPE,0.5524825277330089
fastqc,samtools_bam,0.0883303763071288
fastqc,bamindex,0.4377134368575519
fastqc,generate_genome_star_index,0.0479073610530577
fastqc,run_star_pe,0.1361211408602332
fastqc,pass1,0.0446367348709918
fastqc,fastqc_trimmed,0.1803880917910728
fastqc,run_multiqc,0.1197805809136709
fastqc,sampleReads,0.1711243289222017
fastqc,pass2,0.0419511668404539
trim_fasq_fastqc,picard_rna_seq,0.0326641048939496
trim_fasq_fastqc,salmon_index_extended,0.028128904729732
trim_fasq_fastqc,fastp_trimming_SE,0.1079827115328598
trim_fasq_fastqc,starindex,0.0239030960470078
trim_fasq_fastqc,DRIMSeq,0.0462619221526826
trim_fasq_fastqc,samtools_flagstat,0.0893744585325914
trim_fasq_fastqc,salmon_quant_se,0.0922960575072599
trim_fasq_fastqc,feature_counts,0.053754367489736
trim_fasq_fastqc,RNA_SeqC,0.0397930102303224
trim_fasq_fastqc,fastqc 6,0.1159187374635923
trim_fasq_fastqc,star_genome,0.0322121468101317
trim_fasq_fastqc,edgeR,0.0448404248363433
trim_fasq_fastqc,startPE,0.1865970068750292
trim_fasq_fastqc,tastq_to_bam_HISAT,0.3268316874992291
trim_fasq_fastqc,fastqc 5,0.1593846597720856
trim_fasq_fastqc,multiqc 2,0.1304056760785858
trim_fasq_fastqc,kallistoQuant,0.0910227315309954
trim_fasq_fastqc,salmon_index,0.029242396388751
trim_fasq_fastqc,trim_galore_pe,0.175068893781987
trim_fasq_fastqc,samlon_quant,0.0875256272102129
trim_fasq_fastqc,sortedbam_to_counts,0.1942074591550199
trim_fasq_fastqc,featureCounts 2,0.1020082748428066
trim_fasq_fastqc,fastqc 4,0.0929568184683052
trim_fasq_fastqc,multiqc 3,0.0379771207433045
trim_fasq_fastqc,merge_trimmed_SE,0.1302554939161381
trim_fasq_fastqc,trimgaloreSE,0.1789631699079382
trim_fasq_fastqc,fastQCtrimmed 2,0.1224091031282894
trim_fasq_fastqc,fastqcrim,0.0842200571182817
trim_fasq_fastqc,sortedbam_to_rmdup,0.2795625071715321
trim_fasq_fastqc,sort_index_bams,0.0290338993712443
trim_fasq_fastqc,fastqc 3,0.1467883755935579
trim_fasq_fastqc,fastqc 2,0.1943529521241268
trim_fasq_fastqc,rsem_norm,0.0417864586193052
trim_fasq_fastqc,featureCounts,0.0549966470328479
trim_fasq_fastqc,merge_trimmed_PE,0.1506731016894027
trim_fasq_fastqc,trimgalorePE,0.1690205457521131
trim_fasq_fastqc,compare_reference_stringtie,0.0258049607024523
trim_fasq_fastqc,hisat2,0.069565048156448
trim_fasq_fastqc,counts_matrix,0.095499465901525
trim_fasq_fastqc,sortbam,0.0968501736981212
trim_fasq_fastqc,starSE,0.1862013201389615
trim_fasq_fastqc,fetch_unique_stringtie,0.0269207834857453
trim_fasq_fastqc,bigwig,0.1476876988295273
trim_fasq_fastqc,cutadapt 2,0.0491943188563244
trim_fasq_fastqc,cutadapt,0.1699846706205851
trim_fasq_fastqc,MultiQC,0.0516914049269993
trim_fasq_fastqc,salmon_quant_pe,0.1245767176508675
trim_fasq_fastqc,tximeta,0.0572244850544727
trim_fasq_fastqc,salmon_quant,0.1117439995727851
trim_fasq_fastqc,sort_bams,0.0439831610459091
trim_fasq_fastqc,mark_dups,0.0426814186449925
trim_fasq_fastqc,fastp_trimming_PE,0.0895838343337515
trim_fasq_fastqc,salmonPE,0.1674739418126519
trim_fasq_fastqc,samtools_bam,0.0991272240537703
trim_fasq_fastqc,bamindex,0.1046547476841483
trim_fasq_fastqc,generate_genome_star_index,0.0293358664743633
trim_fasq_fastqc,run_star_pe,0.085977370522949
trim_fasq_fastqc,pass1,0.0869820137219744
trim_fasq_fastqc,fastqc_trimmed,0.1261141711392377
trim_fasq_fastqc,run_multiqc,0.0923473143333131
trim_fasq_fastqc,sampleReads,0.1414697237476258
trim_fasq_fastqc,pass2,0.0817487430546937
picard_rna_seq,salmon_index_extended,0.0431475292758384
picard_rna_seq,fastp_trimming_SE,0.1083718792456446
picard_rna_seq,starindex,0.0203691398347762
picard_rna_seq,DRIMSeq,0.0322324556259727
picard_rna_seq,samtools_flagstat,0.0538847856007742
picard_rna_seq,salmon_quant_se,0.035257607014702
picard_rna_seq,feature_counts,0.1534922308580285
picard_rna_seq,RNA_SeqC,0.0647821088555186
picard_rna_seq,fastqc 6,0.0061031035513207
picard_rna_seq,star_genome,0.0409319828933601
picard_rna_seq,edgeR,0.0292471422831018
picard_rna_seq,startPE,0.049424812131277
picard_rna_seq,tastq_to_bam_HISAT,0.0528018519712254
picard_rna_seq,fastqc 5,0.0178349265362832
picard_rna_seq,multiqc 2,0.0243040605590053
picard_rna_seq,kallistoQuant,0.0281887567656845
picard_rna_seq,salmon_index,0.0455118156987949
picard_rna_seq,trim_galore_pe,0.0573874253918796
picard_rna_seq,samlon_quant,0.0200873023974473
picard_rna_seq,sortedbam_to_counts,0.0429604418043113
picard_rna_seq,featureCounts 2,0.0732410083490633
picard_rna_seq,fastqc 4,0.0365460704121917
picard_rna_seq,multiqc 3,0.0331995476286144
picard_rna_seq,merge_trimmed_SE,0.1115761227998121
picard_rna_seq,trimgaloreSE,0.0518327411040964
picard_rna_seq,fastQCtrimmed 2,0.0073180353287104
picard_rna_seq,fastqcrim,0.0319348537334678
picard_rna_seq,sortedbam_to_rmdup,0.2650565026033453
picard_rna_seq,sort_index_bams,0.2640703595508056
picard_rna_seq,fastqc 3,0.0216003584954635
picard_rna_seq,fastqc 2,0.0152618812762271
picard_rna_seq,rsem_norm,0.0631447071734653
picard_rna_seq,featureCounts,0.0459932078179476
picard_rna_seq,merge_trimmed_PE,0.1137170477519868
picard_rna_seq,trimgalorePE,0.0493373617124531
picard_rna_seq,compare_reference_stringtie,0.0237051976947812
picard_rna_seq,hisat2,0.053608076586936
picard_rna_seq,counts_matrix,0.0201030817584238
picard_rna_seq,sortbam,0.0959465594142251
picard_rna_seq,starSE,0.0459316865642363
picard_rna_seq,fetch_unique_stringtie,0.0226193058607996
picard_rna_seq,bigwig,0.0535554334818031
picard_rna_seq,cutadapt 2,0.0302000749608916
picard_rna_seq,cutadapt,0.0285966049003223
picard_rna_seq,MultiQC,0.0190561566337965
picard_rna_seq,salmon_quant_pe,0.0337567026040607
picard_rna_seq,tximeta,0.0430136281540602
picard_rna_seq,salmon_quant,0.0359063035706212
picard_rna_seq,sort_bams,0.2627388535334222
picard_rna_seq,mark_dups,0.3333708187715931
picard_rna_seq,fastp_trimming_PE,0.1088705242366345
picard_rna_seq,salmonPE,0.0423273772279295
picard_rna_seq,samtools_bam,0.0348441972914317
picard_rna_seq,bamindex,0.0510135556149087
picard_rna_seq,generate_genome_star_index,0.032680883398654
picard_rna_seq,run_star_pe,0.1812457171494493
picard_rna_seq,pass1,0.0751625148160627
picard_rna_seq,fastqc_trimmed,0.014202956712715
picard_rna_seq,run_multiqc,0.0951571826355454
picard_rna_seq,sampleReads,0.0246944247695055
picard_rna_seq,pass2,0.0672522099535285
salmon_index_extended,fastp_trimming_SE,0.0422611443451582
salmon_index_extended,starindex,0.0157089713010815
salmon_index_extended,DRIMSeq,0.1667129983736582
salmon_index_extended,samtools_flagstat,0.0236865921880188
salmon_index_extended,salmon_quant_se,0.2043774609607473
salmon_index_extended,feature_counts,0.0507436702530006
salmon_index_extended,RNA_SeqC,0.0364970682806449
salmon_index_extended,fastqc 6,0.0175392392174569
salmon_index_extended,star_genome,0.0394052641436473
salmon_index_extended,edgeR,0.1658486797868935
salmon_index_extended,startPE,0.2764338360833693
salmon_index_extended,tastq_to_bam_HISAT,0.0545995342390421
salmon_index_extended,fastqc 5,0.0128980611694357
salmon_index_extended,multiqc 2,0.0241925210767362
